Country,Month,Year,Events,
Israel,January,2016,11,
Israel,February,2016,18,
Israel,March,2016,10,
Israel,April,2016,8,
Israel,May,2016,8,
Israel,June,2016,4,
Israel,July,2016,5,
Israel,August,2016,14,
Israel,September,2016,20,
Israel,October,2016,10,
Israel,November,2016,7,
Israel,December,2016,25,
Israel,January,2017,63,
Israel,February,2017,32,
Israel,March,2017,33,
Israel,April,2017,20,
Israel,May,2017,23,
Israel,June,2017,17,
Israel,July,2017,26,
Israel,August,2017,21,
Israel,September,2017,18,
Israel,October,2017,25,
Israel,November,2017,19,
Israel,December,2017,47,
Israel,January,2018,30,
Israel,February,2018,21,
Israel,March,2018,28,
Israel,April,2018,48,
Israel,May,2018,51,
Israel,June,2018,17,
Israel,July,2018,33,
Israel,August,2018,32,
Israel,September,2018,10,
Israel,October,2018,29,
Israel,November,2018,49,
Israel,December,2018,85,
Israel,January,2019,29,
Israel,February,2019,27,
Israel,March,2019,29,
Israel,April,2019,17,
Israel,May,2019,25,
Israel,June,2019,25,
Israel,July,2019,82,
Israel,August,2019,24,
Israel,September,2019,51,
Israel,October,2019,99,
Israel,November,2019,41,
Israel,December,2019,19,
Israel,January,2020,27,
Israel,February,2020,21,
Israel,March,2020,20,
Israel,April,2020,38,
Israel,May,2020,56,
Israel,June,2020,66,
Israel,July,2020,231,
Israel,August,2020,151,
Israel,September,2020,120,
Israel,October,2020,281,
Israel,November,2020,196,
Israel,December,2020,132,
Israel,January,2021,147,
Israel,February,2021,131,
Israel,March,2021,96,
Israel,April,2021,94,
Israel,May,2021,156,
Israel,June,2021,160,
Israel,July,2021,49,
Israel,August,2021,51,
Israel,September,2021,72,
Israel,October,2021,80,
Israel,November,2021,77,
Israel,December,2021,41,
Israel,January,2022,108,
Israel,February,2022,55,
Israel,March,2022,46,
Israel,April,2022,43,
Israel,May,2022,66,
Israel,June,2022,56,
Israel,July,2022,47,
Israel,August,2022,64,
Israel,September,2022,116,
Israel,October,2022,121,
Israel,November,2022,47,
Israel,December,2022,52,
Israel,January,2023,120,
Israel,February,2023,245,
Israel,March,2023,480,
Israel,April,2023,258,
Israel,May,2023,230,
Israel,June,2023,262,
Israel,July,2023,462,
Israel,August,2023,178,
Israel,September,2023,164,
Israel,October,2023,30,
Israel,November,2023,56,
Israel,December,2023,44,
Israel,January,2024,88,
Israel,February,2024,151,
Israel,March,2024,150,
Israel,April,2024,108,
Israel,May,2024,171,
Israel,June,2024,165,
Israel,July,2024,179,
Israel,August,2024,125,
Israel,September,2024,226,
Israel,October,2024,50,
Israel,November,2024,108,
Israel,December,2024,100,
Israel,January,2025,128,
Israel,February,2025,81,
Israel,March,2025,127,
Israel,April,2025,70,
Israel,May,2025,157,
Israel,June,2025,119,
Israel,July,2025,183,
Israel,August,2025,327,
Israel,September,2025,188,
Israel,October,2025,120,
Israel,November,2025,35,